
content,netloc,link,title
,www.thairath.co.th,http://www.thairath.co.th/tv/ondemand?type=3,บันเทิง
,www.thairath.co.th,http://www.thairath.co.th/tv/ondemand?type=4,กีฬา
,www.thairath.co.th,http://www.thairath.co.th/tv/ondemand?type=5,ไลฟ์สไตล์
,www.thairath.co.th,http://www.thairath.co.th/life,ไลฟ์สไตล์
,www.thairath.co.th,http://www.thairath.co.th/home#expanded-menu-lifestyle,
,www.thairath.co.th,http://www.thairath.co.th/home#mobile-menu-lifestyle,
,www.thairath.co.th,http://www.thairath.co.th/socialbuzz,Social BUZZ
,www.thairath.co.th,http://www.thairath.co.th/home#expanded-menu-social,
,www.thairath.co.th,http://www.thairath.co.th/column,คอลัมน์
,www.thairath.co.th,http://www.thairath.co.th/home#expanded-menu-column,
,www.thairath.co.th,http://www.thairath.co.th/home#mobile-menu-column,
,www.thairath.co.th,http://www.thairath.co.th/column?cat=pol,การเมือง
,www.thairath.co.th,http://www.thairath.co.th/column?cat=sport,กีฬา
,www.thairath.co.th,http://www.thairath.co.th/column?cat=ent,บันเทิง
,www.thairath.co.th,http://www.thairath.co.th/column?cat=life,ไลฟ์สไตล์
,www.thairath.co.th,http://www.thairath.co.th/column?cat=eco,เศรษฐกิจ
,www.thairath.co.th,http://www.thairath.co.th/column?cat=oversea,ต่างประเทศ
,www.thairath.co.th,http://www.thairath.co.th/column?cat=social,ทั่วไทย
,www.thairath.co.th,http://www.thairath.co.th/ent/novel,นิยายไทยรัฐ
,www.thairath.co.th,http://www.thairath.co.th/home#expanded-menu-novel,
,www.thairath.co.th,http://www.thairath.co.th/home#mobile-menu-novel,
,www.thairath.co.th,http://www.thairath.co.th/ent/novel?list=show,กำลังออกอากาศ
,www.thairath.co.th,http://www.thairath.co.th/ent/novel?list=end,จบบริบูรณ์
,www.thairath.co.th,http://www.thairath.co.th/ent/novel,นิยายทั้งหมด
,www.thairath.co.th,http://www.thairath.co.th/multimedia/video,คลิปข่าว
,www.thairath.co.th,http://www.thairath.co.th/home#expanded-menu-clip,
,www.thairath.co.th,http://www.thairath.co.th/activity,กิจกรรม
,www.thairath.co.th,http://www.thairath.co.th/home#expanded-menu-activity,
,www.thairath.co.th,http://www.thairath.co.th/tags/ในหลวงสวรรคต,ในหลวงเสด็จสวรรคต
,www.thairath.co.th,http://www.thairath.co.th/tags/น้ำท่วม,เกาะติดน้ำท่วม
,www.thairath.co.th,http://www.thairath.co.th/tags/ร่างรธน.,ร่างรธน.
,www.thairath.co.th,http://www.thairath.co.th/lottery,ผลลอตเตอรี่ 16 ต.ค.59  
,www.thairath.co.th,http://www.thairath.co.th/search?q=เลือกตั้งประธานาธิบดีสหรัฐฯ,เลือกตั้งประธานาธิบดีสหรัฐฯ
,www.thairath.co.th,http://www.thairath.co.th/tags/ทีมข่าวเฉพาะกิจไทยรัฐออนไลน์,สกู๊ปข่าวเฉพาะกิจ
,www.thairath.co.th,http://www.thairath.co.th/scoop,สกู๊ปออนไลน์
,www.facebook.com,https://www.facebook.com/ThairathFan,
,line.naver.jp,http://line.naver.jp/ti/p/@thairath,
,instagram.com,https://instagram.com/thairath,
,twitter.com,https://twitter.com/Thairath_News,
,www.thairath.co.th,http://www.thairath.co.th/rss/news,
,www.thairath.co.th,http://www.thairath.co.th/content/753097,"
			"
,www.thairath.co.th,http://www.thairath.co.th/content/765386,"
			"
,www.thairath.co.th,http://www.thairath.co.th/content/766462,"
			"
,www.thairath.co.th,http://www.thairath.co.th/content/766456,"
			"
,www.thairath.co.th,http://www.thairath.co.th/content/766052,"
			"
,www.thairath.co.th,http://www.thairath.co.th/content/765781,"
			"
,www.thairath.co.th,http://www.thairath.co.th/home#gallery-home,
,www.thairath.co.th,http://www.thairath.co.th/home#gallery-home,
,www.thairath.co.th,http://www.thairath.co.th/newspaper, 
,www.thairath.co.th,http://www.thairath.co.th/content/765611,ภาพประทับใจเมื่อครั้งเสด็จฯ ไปทรงเยี่ยมราษฎรในถิ่นทุรกันดาร
,www.thairath.co.th,http://www.thairath.co.th/content/765616,พระองค์ภาฯ ทรงคุกเข่าสวมกอด ทูลกระหม่อมหญิงอุบลรัตนฯ
,www.thairath.co.th,http://www.thairath.co.th/search?type=news&sort=desc,"
				"
,www.thairath.co.th,http://www.thairath.co.th/home,
,www.facebook.com,http://www.facebook.com/ThairathFan,
,instagram.com,http://instagram.com/thairath,
,www.twitter.com,http://www.twitter.com/Thairath_News,
,www.thairath.co.th,http://www.thairath.co.th/rss/news,
,,javascript:;,หน้าหลัก
,www.thairath.co.th,http://www.thairath.co.th/royal,ข่าวในพระราชสำนัก
,www.thairath.co.th,http://www.thairath.co.th/pol,การเมือง
,www.thairath.co.th,http://www.thairath.co.th/sport,กีฬา
,www.thairath.co.th,http://www.thairath.co.th/ent,บันเทิง
,www.thairath.co.th,http://www.thairath.co.th/life,ไลฟ์สไตล์
,www.thairath.co.th,http://www.thairath.co.th/eco,เศรษฐกิจ
,www.thairath.co.th,http://www.thairath.co.th/oversea,ต่างประเทศ
,www.thairath.co.th,http://www.thairath.co.th/social,ทั่วไทย
,www.thairath.co.th,http://www.thairath.co.th/column,คอลัมน์
,www.thairath.co.th,http://www.thairath.co.th/multimedia,มัลติมีเดีย
,,javascript:;,ไมโครไซต์
,www.thairath.co.th,http://www.thairath.co.th/newspaper,นสพ.ฉบับวันนี้
,www.thairath.co.th,http://www.thairath.co.th/tv/,ไทยรัฐทีวี
,epl.thairath.co.th,http://epl.thairath.co.th,พรีเมียร์ลีก
,www.thairath.co.th,http://www.thairath.co.th/activity,กิจกรรม
,www.thairath.co.th,http://www.thairath.co.th/info/sms,บริการข่าวไทยรัฐ - App & SMS
,www.thairath.co.th,http://www.thairath.co.th/corporate/generation1,เกี่ยวกับไทยรัฐ
,www.thairath-found.or.th,http://www.thairath-found.or.th,มูลนิธิไทยรัฐ
,www.thairath.co.th,http://www.thairath.co.th/datacenter/,ศูนย์ข้อมูลไทยรัฐ
,www.thairath.co.th,http://www.thairath.co.th/ads/,ติดต่อโฆษณา
,www.thairath.co.th,http://www.thairath.co.th/contact/,Contact Us
,www.thairath.co.th,http://www.thairath.co.th/job/recruit,ร่วมงานกับเรา
,www.thairath.co.th,http://www.thairath.co.th/faq/,FAQ
,www.thairath.co.th,http://www.thairath.co.th/home#collapseOne,"
									          "
,www.thairath.co.th,http://www.thairath.co.th/corporate/generation1,เกี่ยวกับไทยรัฐ
,www.thairath-found.or.th,http://www.thairath-found.or.th,มูลนิธิไทยรัฐ
,www.thairath.co.th,http://www.thairath.co.th/datacenter/,ศูนย์ข้อมูลไทยรัฐ
,www.thairath.co.th,http://www.thairath.co.th/ads/,ติดต่อโฆษณา
,www.thairath.co.th,http://www.thairath.co.th/contact/,Contact Us
,www.thairath.co.th,http://www.thairath.co.th/job/recruit,ร่วมงานกับเรา
,www.thairath.co.th,http://www.thairath.co.th/faq/,FAQ
,www.thairath.co.th,http://www.thairath.co.th/assets/thairath-privacy-policy.pdf,นโยบายความเป็นส่วนตัว
,www.thairath.co.th,http://www.thairath.co.th/assets/thairath-terms-condition.pdf,เงื่อนไขข้อตกลงการใช้บริการ
content,netloc,link,title
,www.thairath.co.th,http://www.thairath.co.th/home,
,www.thairath.co.th,http://www.thairath.co.th/info/sms,บริการข่าวไทยรัฐ
,www.thairath.co.th,http://www.thairath.co.th/home,
,www.thairath.co.th,http://www.thairath.co.th/home,
,www.thairath.co.th,http://www.thairath.co.th/home,ข่าว
,www.thairath.co.th,http://www.thairath.co.th/home#expanded-menu-news,
,www.thairath.co.th,http://www.thairath.co.th/home#mobile-menu-news,
,www.thairath.co.th,http://www.thairath.co.th/royal,ข่าวในพระราชสำนัก
,www.thairath.co.th,http://www.thairath.co.th/pol,การเมือง
,www.thairath.co.th,http://www.thairath.co.th/sport,กีฬา
,www.thairath.co.th,http://www.thairath.co.th/ent,บันเทิง
,www.thairath.co.th,http://www.thairath.co.th/life,ไลฟ์สไตล์
,www.thairath.co.th,http://www.thairath.co.th/eco,เศรษฐกิจ
,www.thairath.co.th,http://www.thairath.co.th/oversea,ต่างประเทศ
,www.thairath.co.th,http://www.thairath.co.th/social,ทั่วไทย
,www.thairath.co.th,http://www.thairath.co.th/newspaper,หนังสือพิมพ์
,www.thairath.co.th,http://www.thairath.co.th/home#expanded-menu-newspaper,
,www.thairath.co.th,http://www.thairath.co.th/tv/,ไทยรัฐทีวี
,www.thairath.co.th,http://www.thairath.co.th/home#expanded-menu-tv,
,www.thairath.co.th,http://www.thairath.co.th/home#mobile-menu-tv,
,www.thairath.co.th,http://www.thairath.co.th/tv/ondemand,ดูย้อนหลัง
,www.thairath.co.th,http://www.thairath.co.th/tv/schedule,ผังรายการ
,www.thairath.co.th,http://www.thairath.co.th/tv/program,รายการยอดฮิต
,www.thairath.co.th,http://www.thairath.co.th/tv/program,รายการแนะนำ
,www.thairath.co.th,http://www.thairath.co.th/tv/live,
,www.thairath.co.th,http://www.thairath.co.th/tv/ondemand,ดูย้อนหลัง
,www.thairath.co.th,http://www.thairath.co.th/home#expanded-menu-tv-archive,
,www.thairath.co.th,http://www.thairath.co.th/home#mobile-menu-tv-archive,
,www.thairath.co.th,http://www.thairath.co.th/tv/ondemand?type=1,ข่าว
,www.thairath.co.th,http://www.thairath.co.th/tv/ondemand?type=2,สารคดี
,www.thairath.co.th,http://www.thairath.co.th/tv/ondemand?type=3,บันเทิง
,www.thairath.co.th,http://www.thairath.co.th/tv/ondemand?type=4,กีฬา
,www.thairath.co.th,http://www.thairath.co.th/tv/ondemand?type=5,ไลฟ์สไตล์
,www.thairath.co.th,http://www.thairath.co.th/life,ไลฟ์สไตล์
,www.thairath.co.th,http://www.thairath.co.th/home#expanded-menu-lifestyle,
,www.thairath.co.th,http://www.thairath.co.th/home#mobile-menu-lifestyle,
,www.thairath.co.th,http://www.thairath.co.th/socialbuzz,Social BUZZ
,www.thairath.co.th,http://www.thairath.co.th/home#expanded-menu-social,
,www.thairath.co.th,http://www.thairath.co.th/column,คอลัมน์
,www.thairath.co.th,http://www.thairath.co.th/home#expanded-menu-column,
,www.thairath.co.th,http://www.thairath.co.th/home#mobile-menu-column,
,www.thairath.co.th,http://www.thairath.co.th/column?cat=pol,การเมือง
,www.thairath.co.th,http://www.thairath.co.th/column?cat=sport,กีฬา
